mean_validation_error,mean_training_error,mean_validation_error_reg,mean_training_error_reg,seme,Numero di neuroni N,rho,sigma
0.00011838481302783302,8.090896781668763e-06,0.00021258572109508585,0.00010229180484892157,100,50,1e-05,6.0
0.0030387233571779063,2.9345085703057933e-05,0.003165193765846612,0.00015581549437176394,100,50,1e-05,6.5
0.05555589771449486,0.00010198041121983552,0.05581321789533359,0.00035930059205856993,100,50,1e-05,7.0
0.020048925241137196,3.464560830340138e-05,0.02022015118275967,0.00020587154992587924,100,50,1e-05,7.5
0.0018232188693379204,4.012996539996318e-05,0.001949370380304858,0.00016628147636690052,100,50,1e-05,8.0
0.07909539743478369,0.00011766675647119456,0.079460936512145,0.00048320583383250695,100,50,1e-05,8.5
0.023704230690533887,8.300440671870931e-05,0.024025457221731945,0.00040423093791676996,100,50,1e-05,9.0
0.011279490120857003,0.00591173001786154,0.0455425794565673,0.040174819353571825,100,60,0.001,1.0
0.006490427899515738,0.0031379832471707574,0.029871094138965458,0.02651864948662048,100,60,0.001,1.5
0.004710524724811855,0.00211483960572392,0.022350942625541614,0.01975525750645368,100,60,0.001,2.0
0.003953963184257137,0.001566116869051401,0.018247182108386575,0.015859335793180836,100,60,0.001,2.5
0.0029771128282065165,0.0010383184908845052,0.015156609422577124,0.013217815085255113,100,60,0.001,3.0
0.0026238505050020593,0.000746982136321162,0.013213899511734184,0.011337031143053285,100,60,0.001,3.5
0.0020770786532119797,0.0005849011673982456,0.011381268388001766,0.009889090902188032,100,60,0.001,4.0
0.0017628091091007874,0.0004890122066776726,0.010075239920306622,0.00880144301788351,100,60,0.001,4.5
0.0015473108493411797,0.00042744765363928627,0.008997444605513627,0.007877581409811735,100,60,0.001,5.0
0.0015451389597773986,0.0003695958225465511,0.008354578910509534,0.007179035773278684,100,60,0.001,5.5
0.0012922758108624664,0.0003042207202713187,0.00756565634377597,0.006577601253184823,100,60,0.001,6.0
0.001421772853427805,0.0002776607551022241,0.007222132008190221,0.006078019909864641,100,60,0.001,6.5
0.0012730645552139052,0.00024052464992738376,0.006688521448709092,0.00565598154342257,100,60,0.001,7.0
0.0011154819657394415,0.00020531589563498707,0.006187921736434626,0.005277755666330171,100,60,0.001,7.5
0.0011236649835068182,0.0001861167532498437,0.005882472149603782,0.0049449239193468065,100,60,0.001,8.0
0.0011200286306177047,0.0001744271638531694,0.005615947699034654,0.00467034623227012,100,60,0.001,8.5
0.0011978651729228807,0.00016121028346097676,0.0054554742314309335,0.004418819341969029,100,60,0.001,9.0
0.0015472795042980564,0.0004950785755906481,0.0063622228504532224,0.005310021921745815,100,60,0.0001,1.0
0.0007981232757042292,0.00016175361152903034,0.003983291281340259,0.0033469216171650605,100,60,0.0001,1.5
0.0006268334223708863,0.00011678784299678432,0.0029062511904640706,0.0023962056110899688,100,60,0.0001,2.0
0.00042257373125507703,8.75182845864488e-05,0.002209091340685182,0.0018740358940165542,100,60,0.0001,2.5
0.0003431694306993061,5.8327752227943704e-05,0.0018235016242665128,0.0015386599457951503,100,60,0.0001,3.0
0.00038162594493301385,4.83356892089325e-05,0.0016333780031945507,0.0013000877474704698,100,60,0.0001,3.5
0.00027494069367037786,3.8229561529939534e-05,0.0013628639783689138,0.0011261528462284756,100,60,0.0001,4.0
0.00031376638542641294,3.426603543426751e-05,0.0012631537155941334,0.000983653365601988,100,60,0.0001,4.5
0.0002876878100620299,3.000745981102388e-05,0.0011365403597050447,0.0008788600094540389,100,60,0.0001,5.0
0.0003383491775173912,2.8047874422349535e-05,0.0011083464273547758,0.0007980451242597345,100,60,0.0001,5.5
0.0003271634763591444,2.5115700766484445e-05,0.0010332086132722614,0.0007311608376796015,100,60,0.0001,6.0
0.0002938723893316488,2.1513316488479794e-05,0.0009456035814581849,0.000673244508615016,100,60,0.0001,6.5
0.00028464030879436764,2.128111840490938e-05,0.0008885722522413682,0.0006252130618519099,100,60,0.0001,7.0
0.0003147911491215214,1.788320274283106e-05,0.0008819159592225815,0.0005850080128438911,100,60,0.0001,7.5
0.0002323370160144913,1.8816531054182777e-05,0.0007610435183325451,0.0005475230333722365,100,60,0.0001,8.0
0.0002497092330786944,1.8164145478214433e-05,0.0007449752075233791,0.0005134301199228991,100,60,0.0001,8.5
0.0001818140128504044,1.6780484010477533e-05,0.0006515792117793307,0.00048654568293940393,100,60,0.0001,9.0
0.0001942342322007822,3.898352948800573e-05,0.0008187991318598103,0.000663548429147034,100,60,1e-05,1.0
0.0001612753266286772,2.2518696847866364e-05,0.0005557917818734498,0.000417035152092639,100,60,1e-05,1.5
0.00011346730947485578,1.5775071705394735e-05,0.0003932506997505154,0.0002955584619810543,100,60,1e-05,2.0
7.035176034960808e-05,1.1108106317310329e-05,0.0002947428338183909,0.00023549917978609317,100,60,1e-05,2.5
6.671890835710718e-05,1.0798469868542507e-05,0.000247348397138411,0.00019142795864984636,100,60,1e-05,3.0
8.636019478805611e-05,9.39360639808659e-06,0.0002410425053498251,0.00016407591695985556,100,60,1e-05,3.5
7.702608200025989e-05,8.995810822478347e-06,0.00020779408494910894,0.0001397638137713274,100,60,1e-05,4.0
0.0001334482716247404,8.94490966700442e-06,0.0002506742500712511,0.00012617088811351507,100,60,1e-05,4.5
9.577945714987479e-05,7.34596321879346e-06,0.00019947899607656452,0.00011104550214548319,100,60,1e-05,5.0
9.587229878954534e-05,7.696753952453426e-06,0.0002010478948307597,0.00011287234999366774,100,60,1e-05,5.5
0.00010907031843198484,6.789421432121122e-06,0.00020189416343731323,9.961326643744949e-05,100,60,1e-05,6.0
0.0004320554355959669,6.865225063554549e-06,0.000521404246777285,9.621403624487262e-05,100,60,1e-05,6.5
0.00012741835060306456,6.1948185990953986e-06,0.000207781615071726,8.655808306775684e-05,100,60,1e-05,7.0
0.00016024969476650383,6.021802141998088e-06,0.00023677580286151351,8.254791023700774e-05,100,60,1e-05,7.5
0.00016248663581620737,6.193246145801476e-06,0.0002441911948063539,8.7897805135948e-05,100,60,1e-05,8.0
0.00013902573992787776,6.762081020863743e-06,0.0002175598524605127,8.529619355349871e-05,100,60,1e-05,8.5
0.0008909945522359169,7.226503080713157e-06,0.0009697041825800515,8.593613342484764e-05,100,60,1e-05,9.0
0.01071108803470561,0.00569343536948497,0.04528636533652887,0.040268712671308236,100,70,0.001,1.0
0.006258472372464964,0.0031602047861916767,0.029509871554180306,0.02641160396790702,100,70,0.001,1.5
0.004902659818504762,0.002168375555535293,0.02248702725165491,0.01975274298868544,100,70,0.001,2.0
0.003929994769809676,0.001519176363158456,0.018302441051067916,0.015891622644416695,100,70,0.001,2.5
0.0030427246906097154,0.0010583086214333791,0.015236819908957094,0.013252403839780758,100,70,0.001,3.0
0.002419000159923546,0.0007376925556111895,0.013023665782955444,0.011342358178643087,100,70,0.001,3.5
0.00221106230706434,0.0006031819838339564,0.011522082323482558,0.009914202000252174,100,70,0.001,4.0
0.0018223995971687508,0.000493263033391884,0.010084503063384005,0.008755366499607137,100,70,0.001,4.5
0.001582546758912056,0.00041203251398040056,0.009068016364524725,0.00789750211959307,100,70,0.001,5.0
0.0014803095237403087,0.0003573716912550938,0.008305884432745325,0.007182946600260112,100,70,0.001,5.5
0.0013594919245404095,0.0003095684408911278,0.007634796466312465,0.006584872982663184,100,70,0.001,6.0
0.0013621948193102012,0.00026462521001790475,0.007176310804719882,0.006078741195427585,100,70,0.001,6.5
0.0011746608710474864,0.00022154236958590824,0.0066087389215364846,0.0056556204200749055,100,70,0.001,7.0
0.0011885403602129355,0.00020283397381244705,0.0062601303479551205,0.0052744239615546305,100,70,0.001,7.5
0.0010461988383821737,0.0001773796922218185,0.005818955454264681,0.004950136308104326,100,70,0.001,8.0
0.0009621836118718916,0.00016319429374747575,0.0054604314685184445,0.004661442150394029,100,70,0.001,8.5
0.0009289878422131626,0.0001527139657045264,0.005184282524538563,0.004408008648029926,100,70,0.001,9.0
0.001634587791404366,0.00043489085099686554,0.006512198755496061,0.005312501815088561,100,70,0.0001,1.0
0.0008159356424745802,0.00019489053722515068,0.003984890573330889,0.0033638454680814597,100,70,0.0001,1.5
0.0007059954516741185,0.00012001034486709621,0.002994050227764719,0.002408065120957697,100,70,0.0001,2.0
0.0007000388873665206,8.74020367335524e-05,0.002491460492799194,0.0018788236421662253,100,70,0.0001,2.5
0.000375992511622348,6.65099829466449e-05,0.0018520887460712534,0.0015426062173955503,100,70,0.0001,3.0
0.0003463993090637132,4.90310407999169e-05,0.0015880438139540243,0.0012906755456902283,100,70,0.0001,3.5
0.0003120207253861716,4.196543452568206e-05,0.0013803572420337065,0.001110301951173217,100,70,0.0001,4.0
0.00033593495561414107,3.385719182049321e-05,0.0012867142478425763,0.0009846364840489286,100,70,0.0001,4.5
0.0002302522805620107,3.0893754402680655e-05,0.001078478634715939,0.000879120108556609,100,70,0.0001,5.0
0.00034078524860639374,2.6699497851281904e-05,0.0011104568214337954,0.0007963710706786834,100,70,0.0001,5.5
0.00019472203086777005,2.3702694002680723e-05,0.0009031625616511965,0.0007321432247861069,100,70,0.0001,6.0
0.00023327313615282517,2.2750493035739318e-05,0.0008809418577524906,0.0006704192146354046,100,70,0.0001,6.5
0.00023704480200595685,2.003632126484179e-05,0.0008432375799926038,0.0006262290992514887,100,70,0.0001,7.0
0.0001904733680346411,2.0015495791740088e-05,0.0007533309457201127,0.0005828730734772116,100,70,0.0001,7.5
0.0002370332463859272,1.8558915605191302e-05,0.0007646470300236075,0.0005461726992428715,100,70,0.0001,8.0
0.0001838111036231471,1.6664578282142632e-05,0.0006820716844395597,0.0005149251590985554,100,70,0.0001,8.5
0.00032698267534145113,1.6035197656048417e-05,0.0007944109646821661,0.00048346348699676345,100,70,0.0001,9.0
0.00022467747345776074,3.9459000395867735e-05,0.0008484996911120658,0.0006632812180501728,100,70,1e-05,1.0
0.00016632552786835316,2.4169087761926553e-05,0.0005562657363685109,0.0004141092962620843,100,70,1e-05,1.5
0.00016871122374547787,1.7560801036446546e-05,0.0004529829187335093,0.000301832496024478,100,70,1e-05,2.0
7.525708406995169e-05,1.2295281059019662e-05,0.0002955115137063157,0.00023254971069538365,100,70,1e-05,2.5
8.216351189674302e-05,1.0121965616619531e-05,0.00026394522841654145,0.00019190368213641798,100,70,1e-05,3.0
6.10374068562369e-05,9.30109116837739e-06,0.00021404126971811378,0.00016230495403025426,100,70,1e-05,3.5
7.253162780662558e-05,6.969235807450159e-06,0.00020636201422798,0.0001407996222288046,100,70,1e-05,4.0
9.52487652629271e-05,7.371834371062145e-06,0.00021354277680763804,0.00012566584591577304,100,70,1e-05,4.5
0.0001138896087060562,7.2292875710648085e-06,0.00022123568549283916,0.00011457536435784775,100,70,1e-05,5.0
0.00015609292367084205,6.461590309197473e-06,0.00025194424555151926,0.0001023129121898747,100,70,1e-05,5.5
0.0001136394092084405,5.384942050443338e-06,0.00020352378958411909,9.526932242612193e-05,100,70,1e-05,6.0
8.455533999171248e-05,5.158022797539894e-06,0.00016763305307519022,8.823573588101765e-05,100,70,1e-05,6.5
